entry_bar,entry_notional,entry_time,exit_bar,exit_time,month,pnl,quarter,rank,return,sleeve
17670,60716.64492067724,2021-09-30 03:00:00,17767,2021-10-04 04:00:00,2021-09,7619.178147857077,2021Q3,8,0.12548746983320785,1h_core_donchian_fast
24556,22529.833222153353,2022-07-14 01:00:00,24728,2022-07-21 05:00:00,2022-07,7276.845167739866,2022Q3,9,0.32298708543410876,1h_core_donchian_fast
12370,26485.63356208051,2021-02-21 00:00:00,12572,2021-03-01 10:00:00,2021-02,6190.7115925059115,2021Q1,10,0.23373847478465287,1h_core_donchian_fast
15391,68911.5107520078,2021-06-27 04:00:00,15512,2021-07-02 05:00:00,2021-06,6088.088041363939,2021Q2,11,0.08834646019114531,1h_core_donchian_fast
17367,57675.05378539909,2021-09-17 12:00:00,17504,2021-09-23 05:00:00,2021-09,5733.63790769234,2021Q3,12,0.09941278822255485,1h_core_donchian_fast
3996,12577.13850675194,2020-03-08 01:00:00,4186,2020-03-15 23:00:00,2020-03,5644.69685604043,2020Q1,13,0.4488061297098794,1h_core_donchian_fast
17125,59370.98333028661,2021-09-07 10:00:00,17245,2021-09-12 10:00:00,2021-09,5359.4833991926425,2021Q3,14,0.09027109033005754,1h_core_donchian_fast
14591,59055.61684848851,2021-05-24 13:00:00,14681,2021-05-28 07:00:00,2021-05,5273.829649674357,2021Q2,15,0.08930276121244743,1h_core_donchian_fast
23669,14213.233146159222,2022-06-07 02:00:00,23975,2022-06-19 20:00:00,2022-06,5229.593070829904,2022Q2,16,0.3679383161489244,1h_core_donchian_fast
13128,29054.66329220123,2021-03-24 14:00:00,13379,2021-04-04 01:00:00,2021-03,4497.026290013928,2021Q1,17,0.1547781244197384,1h_core_donchian_fast
11914,21312.670844747467,2021-02-02 00:00:00,12037,2021-02-07 03:00:00,2021-02,4312.75456277292,2021Q1,18,0.20235636322586023,1h_core_donchian_fast
20014,23991.19493319946,2022-01-05 19:00:00,20157,2022-01-11 18:00:00,2022-01,3292.2845411253,2022Q1,19,0.1372288687700743,1h_core_donchian_fast
10982,19057.656879488928,2020-12-25 01:00:00,11169,2021-01-01 20:00:00,2020-12,3276.8242844718225,2020Q4,20,0.17194266352851334,1h_core_donchian_fast
