also_inside_bb,attribution_only,bar,bars_held_at_signal,base_trade_entry_notional,base_trade_pnl,baseline_realized_return,bb_lower_prev,bb_upper_prev,direction,donchian_lower_prev,donchian_upper_prev,entry_bar,entry_price,entry_time,exit_bar,exit_time,giveback_capture_ratio,is_top20,is_worst20,lead_time_bars,life_mfe,position,post_return_12,post_return_144,post_return_24,post_return_288,post_return_6,post_return_72,regime,signal_close,signal_mfe_capture_ratio,signal_return_from_entry,signal_vs_baseline_return_delta,time,tol,tol_bp
False,True,667580,52,2344044.127007336,675483.4111797365,0.288170091764498,2964.041138768143,3037.7246212318564,short,2940.21,3044.4,667528,2940.531776,2026-01-29 04:25:00,670116,2026-02-07 04:05:00,-2.5077735928015947,True,False,2536,0.4051178041070078,-1,0.0028161081385524867,0.053937247938039556,0.00320413822597998,0.07983603143461537,0.002316196418882255,0.015739751119481227,BEAR,2955.63,-0.012609401351454816,-0.005108292986605312,-0.2932783847511033,2026-01-29 08:45:00,0.005,50
False,True,667608,80,2344044.127007336,675483.4111797365,0.288170091764498,2954.154101747914,3038.35283158542,short,2928.85,3044.4,667528,2940.531776,2026-01-29 04:25:00,670116,2026-02-07 04:05:00,-2.465047790667627,True,False,2508,0.4051178041070078,-1,0.0020717055452197375,0.04341316302998055,0.0005545670124489366,0.07486394520527906,0.005226331962660202,0.036952673779821366,BEAR,2940.86,-0.0002754955914246147,-0.00011160816903910131,-0.2882816999335371,2026-01-29 11:05:00,0.0,0
False,True,667613,85,2344044.127007336,675483.4111797365,0.288170091764498,2951.78460393526,3038.789369398073,short,2923.93,3044.4,667528,2940.531776,2026-01-29 04:25:00,670116,2026-02-07 04:05:00,-2.4221549495718873,True,False,2503,0.4051178041070078,-1,-0.0033378973971213144,0.036157035767526935,-0.003490633183832026,0.06799567864286016,-0.0021959885699477377,0.028989992052719238,BEAR,2926.18,0.012106630277061308,0.004904611472978493,-0.2832654802915195,2026-01-29 11:30:00,0.0,0
False,True,667631,103,2344044.127007336,675483.4111797365,0.288170091764498,2943.999970106216,3040.002909893784,short,2923.93,3044.4,667528,2940.531776,2026-01-29 04:25:00,670116,2026-02-07 04:05:00,-2.4617613121733037,True,False,2485,0.4051178041070078,-1,0.0023424234365090335,0.04741969044836525,0.03045736879740879,0.0739445881373022,0.0011238136104045893,0.06380522615174744,BEAR,2939.73,0.0006732312669794878,0.00027273797253490883,-0.2878973537919631,2026-01-29 13:00:00,0.005,50
False,True,667650,122,2344044.127007336,675483.4111797365,0.288170091764498,2936.920636480069,3039.3284835199306,short,2911.35,3044.4,667528,2940.531776,2026-01-29 04:25:00,670116,2026-02-07 04:05:00,-2.3833062122438506,True,False,2466,0.4051178041070078,-1,0.030982456016167337,0.06578345608277458,0.036020528286855535,0.061310219948774725,0.028946754925716967,0.04236727128293394,BEAR,2913.01,0.023321321193753044,0.009447882430887455,-0.2787222093336105,2026-01-29 14:35:00,0.0,0
False,True,667658,130,2344044.127007336,675483.4111797365,0.288170091764498,2928.1973831363484,3042.4249101969845,short,2814.58,3044.4,667528,2940.531776,2026-01-29 04:25:00,670116,2026-02-07 04:05:00,-2.1161924596980835,True,False,2458,0.4051178041070078,-1,0.0033806217929368554,0.03015090033432144,-0.011561522692767778,0.029044147103597373,0.004293599763994349,0.0030742906234138,BEAR,2825.57,0.10043060145436448,0.040686224726338205,-0.24748386703815978,2026-01-29 15:15:00,0.0,0
False,True,667659,131,2344044.127007336,675483.4111797365,0.288170091764498,2926.415008933371,3043.2520843999623,short,2806.55,3044.4,667528,2940.531776,2026-01-29 04:25:00,670116,2026-02-07 04:05:00,-2.1361773917758877,True,False,2457,0.4051178041070078,-1,0.007696687186421247,0.03243199889171233,-0.0056285902891894946,0.0368546500345992,0.003561455483578335,0.005332083737144666,BEAR,2831.93,0.0946614348955866,0.03834903263851852,-0.24982105912597946,2026-01-29 15:20:00,0.005,50
False,True,667664,136,2344044.127007336,675483.4111797365,0.288170091764498,2917.9484450982086,3047.067234901791,short,2797.1,3044.4,667528,2940.531776,2026-01-29 04:25:00,670116,2026-02-07 04:05:00,-2.0779848706877844,True,False,2452,0.4051178041070078,-1,-0.0017067026221482262,0.028153264265745825,-0.005668785982124391,0.029775194536151073,-0.0009090747678487388,-0.003855713466318411,BEAR,2813.49,0.11146020835778517,0.04515451485521549,-0.2430155769092825,2026-01-29 15:45:00,0.0,0
False,True,667664,136,2344044.127007336,675483.4111797365,0.288170091764498,2917.9484450982086,3047.067234901791,short,2797.1,3044.4,667528,2940.531776,2026-01-29 04:25:00,670116,2026-02-07 04:05:00,-2.0779848706877844,True,False,2452,0.4051178041070078,-1,-0.0017067026221482262,0.028153264265745825,-0.005668785982124391,0.029775194536151073,-0.0009090747678487388,-0.003855713466318411,BEAR,2813.49,0.11146020835778517,0.04515451485521549,-0.2430155769092825,2026-01-29 15:45:00,0.005,50
False,True,667669,141,2344044.127007336,675483.4111797365,0.288170091764498,2909.564285841483,3050.7586474918508,short,2797.1,3044.4,667528,2940.531776,2026-01-29 04:25:00,670116,2026-02-07 04:05:00,-2.0898490599985142,True,False,2447,0.4051178041070078,-1,-0.009948902493024159,0.02174614745744896,-0.00467415190463738,0.029975431771983585,0.0006784308710909848,0.0020843930183505055,BEAR,2817.23,0.10803530383711935,0.04376702505652719,-0.2444030667079708,2026-01-29 16:10:00,0.005,50
False,True,667673,145,2344044.127007336,675483.4111797365,0.288170091764498,2903.136487110064,3053.3887928899358,short,2797.1,3044.4,667528,2940.531776,2026-01-29 04:25:00,670116,2026-02-07 04:05:00,-2.081318909444516,True,False,2443,0.4051178041070078,-1,-0.010268167975975184,0.017887366730799936,0.010824594167504697,0.03043105783804756,-0.008074151086362669,0.00022033320065961703,BEAR,2814.54,0.11049775200186052,0.04476460664975446,-0.24340548511474352,2026-01-29 16:30:00,0.005,50
False,True,667698,170,2344044.127007336,675483.4111797365,0.288170091764498,2873.203635944245,3058.073004055756,short,2773.25,3044.4,667528,2940.531776,2026-01-29 04:25:00,670116,2026-02-07 04:05:00,-2.02224187334207,True,False,2418,0.4051178041070078,-1,-0.0020415665811254202,0.028333842096939676,0.0005152776237113965,0.046351494467085086,0.01017746434093958,-0.005806469964940719,BEAR,2796.05,0.1275518635568589,0.051673530873911355,-0.23649656089058663,2026-01-29 18:35:00,0.0,0
False,True,667698,170,2344044.127007336,675483.4111797365,0.288170091764498,2873.203635944245,3058.073004055756,short,2773.25,3044.4,667528,2940.531776,2026-01-29 04:25:00,670116,2026-02-07 04:05:00,-2.02224187334207,True,False,2418,0.4051178041070078,-1,-0.0020415665811254202,0.028333842096939676,0.0005152776237113965,0.046351494467085086,0.01017746434093958,-0.005806469964940719,BEAR,2796.05,0.1275518635568589,0.051673530873911355,-0.23649656089058663,2026-01-29 18:35:00,0.005,50
False,True,667702,174,2344044.127007336,675483.4111797365,0.288170091764498,2867.1493460200813,3059.196467313252,short,2755.17,3044.4,667528,2940.531776,2026-01-29 04:25:00,670116,2026-02-07 04:05:00,-1.9159260915608085,True,False,2414,0.4051178041070078,-1,-0.014676203584188419,0.016972980134400073,-0.01605150153464885,0.005194427267105617,-0.00518399585280338,-0.015413448108770544,BEAR,2763.38,0.15824265852853556,0.0641069183391354,-0.22406317342536258,2026-01-29 18:55:00,0.0,0
False,True,667705,177,2344044.127007336,675483.4111797365,0.288170091764498,2861.880858538216,3060.1552481284502,short,2755.17,3044.4,667528,2940.531776,2026-01-29 04:25:00,670116,2026-02-07 04:05:00,-1.9398340053114917,True,False,2411,0.4051178041070078,-1,-0.007849372265073873,0.00925598761497115,-0.017782063371643786,0.01001020705745126,-0.010761211082547906,-0.014073681326306597,BEAR,2770.66,0.1513410220374227,0.061310942519110956,-0.22685914924538703,2026-01-29 19:10:00,0.005,50
False,True,667784,256,2344044.127007336,675483.4111797365,0.288170091764498,2794.768606118298,3039.1224338817024,short,2684.77,3036.73,667528,2940.531776,2026-01-29 04:25:00,670116,2026-02-07 04:05:00,-1.8016005774632615,True,False,2332,0.4051178041070078,-1,-0.0009152178767677377,-0.0003919184223634131,-0.0026896161084615233,0.009984789664373439,0.001938461199569863,-0.0016315779846719503,BEAR,2729.09,0.19124566950594962,0.07747702567522485,-0.21069306608927313,2026-01-30 01:45:00,0.0,0
False,True,667784,256,2344044.127007336,675483.4111797365,0.288170091764498,2794.768606118298,3039.1224338817024,short,2684.77,3036.73,667528,2940.531776,2026-01-29 04:25:00,670116,2026-02-07 04:05:00,-1.8016005774632615,True,False,2332,0.4051178041070078,-1,-0.0009152178767677377,-0.0003919184223634131,-0.0026896161084615233,0.009984789664373439,0.001938461199569863,-0.0016315779846719503,BEAR,2729.09,0.19124566950594962,0.07747702567522485,-0.21069306608927313,2026-01-30 01:45:00,0.005,50
False,True,667984,456,2344044.127007336,675483.4111797365,0.288170091764498,2686.4094230744045,2885.0283902589285,short,2636.75,2945.16,667528,2940.531776,2026-01-29 04:25:00,670116,2026-02-07 04:05:00,-1.611364833029258,True,False,2132,0.4051178041070078,-1,-0.027733032743668562,-0.005249275480935456,-0.004801286298096619,0.11542264067512376,-0.02736168200501976,-0.013208250451161918,BEAR,2673.88,0.24616212810586488,0.09972466079255593,-0.18844543097194205,2026-01-30 18:25:00,0.0,0
