side,entry_step,exit_step,entry_time,exit_time,entry_price,exit_price,entry_notional,entry_size,pnl,return_pct,duration_bars,duration_days,mae_pct,mfe_pct,mae_step,mfe_step,time_to_mae_bars,time_to_mae_hours,time_to_mfe_bars,time_to_mfe_hours,entry_regime,exit_regime,mae_pnl_est,mfe_pnl_est,git_commit,checkpoint,data_file,oos_start,oos_end,commission,slippage,script_version
short,99709,100409,2025-05-18 19:30:00,2025-05-21 05:50:00,2434.483006,2594.9888939999996,14517.206288527714,1.0,-957.1213165164954,-0.06593017392375256,700,2.4305555555555554,-0.06572524581426453,0.043903779873006865,100409,99715,700,58.333333333333336,6,0.5,,,-954.1469518498709,637.3602292625517,845a3f4,checkpoints/channel_breakout_375_432.pt,data\crypto\ETHUSDT_5m_2600d.parquet,2024-06-06 14:25:00,2026-06-12 02:55:00,0.0002,0.0002,2026-06-17.mae_mfe.v2
long,100409,101056,2025-05-21 05:50:00,2025-05-23 11:45:00,2594.9888939999996,2597.8203320000002,13557.181530753513,1.0,9.36423236725932,0.0010911175791723515,647,2.2465277777777777,-0.047028676801728064,0.05269043976108834,100570,100943,161,13.416666666666666,534,44.5,,,-637.5763085521639,714.3338567763074,845a3f4,checkpoints/channel_breakout_375_432.pt,data\crypto\ETHUSDT_5m_2600d.parquet,2024-06-06 14:25:00,2026-06-12 02:55:00,0.0002,0.0002,2026-06-17.mae_mfe.v2
short,101056,101790,2025-05-23 11:45:00,2025-05-26 00:55:00,2597.8203320000002,2573.794656,13566.545763120772,1.0,125.4693504508432,0.009248397860333712,734,2.548611111111111,0.000381216509779958,0.050607938655551465,101057,101597,1,0.08333333333333333,541,45.083333333333336,,,5.171791225586978,686.5749157477477,845a3f4,checkpoints/channel_breakout_375_432.pt,data\crypto\ETHUSDT_5m_2600d.parquet,2024-06-06 14:25:00,2026-06-12 02:55:00,0.0002,0.0002,2026-06-17.mae_mfe.v2
long,101790,102941,2025-05-26 00:55:00,2025-05-30 00:50:00,2573.794656,2586.762544,13689.30180441899,1.0,63.46984962127499,0.005038431473066263,1151,3.9965277777777777,-0.023737191254779022,0.07972871632227063,102083,102673,293,24.416666666666668,883,73.58333333333333,,,-324.94557507588513,1091.4304602144691,845a3f4,checkpoints/channel_breakout_375_432.pt,data\crypto\ETHUSDT_5m_2600d.parquet,2024-06-06 14:25:00,2026-06-12 02:55:00,0.0002,0.0002,2026-06-17.mae_mfe.v2
short,102941,104014,2025-05-30 00:50:00,2025-06-02 18:15:00,2586.762544,2553.550608,13752.771654040265,1.0,176.5749924715692,0.01283919008222667,1073,3.7256944444444446,-0.024129565407840392,0.04511142480807473,102999,103658,58,4.833333333333333,717,59.75,,,-331.8484031652579,620.407124373859,845a3f4,checkpoints/channel_breakout_375_432.pt,data\crypto\ETHUSDT_5m_2600d.parquet,2024-06-06 14:25:00,2026-06-12 02:55:00,0.0002,0.0002,2026-06-17.mae_mfe.v2
long,104014,104786,2025-06-02 18:15:00,2025-06-05 10:35:00,2553.550608,2586.712554,13926.596092181026,1.0,175.2167459523116,0.012986602222061938,772,2.6805555555555554,-0.010507176915132477,0.048751488069195936,104031,104562,17,1.4166666666666667,548,45.666666666666664,,,-146.32920896613862,678.942283232474,845a3f4,checkpoints/channel_breakout_375_432.pt,data\crypto\ETHUSDT_5m_2600d.parquet,2024-06-06 14:25:00,2026-06-12 02:55:00,0.0002,0.0002,2026-06-17.mae_mfe.v2
short,104786,105505,2025-06-05 10:35:00,2025-06-07 22:30:00,2586.712554,2537.897478,14101.812838133337,1.0,266.12253299075746,0.0188714729530014,719,2.4965277777777777,-0.020712562714844118,0.07604731870799131,104813,104951,27,2.25,165,13.75,,,-292.0846828028307,1072.4050552619694,845a3f4,checkpoints/channel_breakout_375_432.pt,data\crypto\ETHUSDT_5m_2600d.parquet,2024-06-06 14:25:00,2026-06-12 02:55:00,0.0002,0.0002,2026-06-17.mae_mfe.v2
long,105505,106767,2025-06-07 22:30:00,2025-06-12 07:40:00,2537.897478,2740.5417820000002,14365.115008556468,1.0,1140.8116574688247,0.07984731682687785,1262,4.381944444444445,-0.02338056541462863,0.13367857643617542,105885,106574,380,31.666666666666668,1069,89.08333333333333,,,-335.864511146218,1920.3081246857666,845a3f4,checkpoints/channel_breakout_375_432.pt,data\crypto\ETHUSDT_5m_2600d.parquet,2024-06-06 14:25:00,2026-06-12 02:55:00,0.0002,0.0002,2026-06-17.mae_mfe.v2
short,106767,107739,2025-06-12 07:40:00,2025-06-15 16:40:00,2740.5417820000002,2554.21074,15505.926666025292,1.0,1054.2576201716347,0.06799058610375175,972,3.375,-0.011420449126361865,0.10966509760003362,106856,106995,89,7.416666666666667,228,19.0,,,-177.0846466464397,1700.4589612086277,845a3f4,checkpoints/channel_breakout_375_432.pt,data\crypto\ETHUSDT_5m_2600d.parquet,2024-06-06 14:25:00,2026-06-12 02:55:00,0.0002,0.0002,2026-06-17.mae_mfe.v2
long,107739,108296,2025-06-15 16:40:00,2025-06-17 15:05:00,2554.21074,2516.74655,16557.08310086372,1.0,-249.3780262806922,-0.014667619007819321,557,1.9340277777777777,-0.02452449949372615,0.04800279713803102,107787,108076,48,4.0,337,28.083333333333332,,,-406.0541761247141,794.7863012882827,845a3f4,checkpoints/channel_breakout_375_432.pt,data\crypto\ETHUSDT_5m_2600d.parquet,2024-06-06 14:25:00,2026-06-12 02:55:00,0.0002,0.0002,2026-06-17.mae_mfe.v2
short,108296,109075,2025-06-17 15:05:00,2025-06-20 08:00:00,2516.74655,2555.571012,16307.70507458303,1.0,-251.56931632842497,-0.015426448880996757,779,2.704861111111111,-0.015223404200156887,0.02214229716536209,109075,108317,779,64.91666666666667,21,1.75,,,-248.25878592732707,361.0900518465008,845a3f4,checkpoints/channel_breakout_375_432.pt,data\crypto\ETHUSDT_5m_2600d.parquet,2024-06-06 14:25:00,2026-06-12 02:55:00,0.0002,0.0002,2026-06-17.mae_mfe.v2
long,109075,109523,2025-06-20 08:00:00,2025-06-21 21:20:00,2555.571012,2310.5378,16052.874217239687,1.0,-1544.9862821978004,-0.09588198130649317,448,1.5555555555555556,-0.09570112153079935,0.003912623814031679,109523,109078,448,37.333333333333336,3,0.25,,,-1536.2780663826907,62.80885794602715,845a3f4,checkpoints/channel_breakout_375_432.pt,data\crypto\ETHUSDT_5m_2600d.parquet,2024-06-06 14:25:00,2026-06-12 02:55:00,0.0002,0.0002,2026-06-17.mae_mfe.v2
short,109523,110011,2025-06-21 21:20:00,2025-06-23 14:00:00,2310.5378,2309.441796,14507.887935041887,1.0,6.882399159740089,0.00047435017076979946,488,1.6944444444444444,-0.01459495707016778,0.08462869553573205,109524,109798,1,0.08333333333333333,275,22.916666666666668,,,-211.7420015907414,1227.78363092118,845a3f4,checkpoints/channel_breakout_375_432.pt,data\crypto\ETHUSDT_5m_2600d.parquet,2024-06-06 14:25:00,2026-06-12 02:55:00,0.0002,0.0002,2026-06-17.mae_mfe.v2
