avg_bars_held,daily_context,dd_improve_rel,delta_avg_bars_held,delta_full,delta_giveback_to_loss_6_count,delta_mfe_capture_avg,delta_oos,delta_roll12,engulf_style,engulf_volume_ratio,exited_base_loser_pnl,exited_base_pnl,exited_base_winner_pnl,exits,full_dd,full_return,giveback_to_loss_6_count,giveback_to_loss_6_pnl,macd_tf,mfe_capture_avg,oi_threshold,oos_return,pass_gate,rolling12_min,sequence_macd_tf,sequence_window_bars,top20_winner_exited_pnl,top20_winner_exits,trades,unique_base_trades_exited,use_2h_wick,variant,wick_shadow_ratio,wick_volume_ratio,worst20_loser_exited_pnl,worst20_loser_exits,year_flat,year_losses,year_min_delta,year_wins
1685.1016949152543,False,0.07487663251467817,-553.3305084745764,-302.0638424998488,-1,0.037163828847061486,0.9966253975674562,0.10507164268993807,,1.5,-19462.31310473493,2913658.078333206,2933120.3914379408,24,-0.472901688941364,120.7864944005948,16,-96846.68902976354,,0.39034605451493676,,7.293788789505198,False,0.14501969304674667,2h,144,2487692.4130549654,7,236,24,True,2h_wick_r75_v2p0_then_macd2h_12h,0.75,2.0,0.0,0,0,5,-1.5573530436449488,3
1521.3389830508474,False,0.07487663251467795,-717.0932203389832,-330.528307123029,-3,0.04576819292890977,0.2429712180471819,0.1005688321795366,,1.5,-51622.11104896878,3732474.7970398203,3784096.9080887893,36,-0.4729016889413641,92.32202977741466,14,-73510.14684546646,,0.39895041859678504,,6.540134609984924,False,0.1405168825363452,2h,288,3163175.824234702,8,236,36,True,2h_wick_r75_v2p0_then_macd2h_24h,0.75,2.0,0.0,0,0,7,-1.2706950222182734,1
1450.1228813559321,False,0.07487663251467795,-788.3093220338985,-343.38774391175446,-3,0.053699463405018244,-0.05028516497113511,-0.07754048474733799,,1.5,-51666.22656911259,4311183.691285425,4362849.917854538,45,-0.4729016889413641,79.46259298868915,14,-64022.464529320496,,0.4068816890728935,,6.246878226966607,False,-0.037592434390529395,2h,288,3414806.802659308,10,236,45,True,2h_wick_r75_v1p5_then_macd2h_24h,0.75,1.5,0.0,0,0,6,-1.2706950222182734,2
1645.4957627118645,False,0.07487663251467773,-592.9364406779662,-321.1747807663086,-1,0.040551459715286786,0.7212382797727432,-0.07754048474733799,,1.5,-19506.42862487874,3223055.1353092133,3242561.5639340915,29,-0.4729016889413642,101.67555613413505,16,-82401.4471670294,,0.39373368538316206,,7.018401671710485,False,-0.037592434390529395,2h,144,2631608.448097679,8,236,29,True,2h_wick_r75_v1p5_then_macd2h_12h,0.75,1.5,0.0,0,0,5,-1.306889815524423,3
1741.3813559322034,False,0.044218782712838196,-497.05084745762724,-308.9750784977006,-2,0.03272444394951779,-0.32566910718512254,-0.04778422914249003,strict,2.0,-23075.13221514294,1407206.708113668,1430281.840328811,15,-0.4885732733593533,113.87525840274299,15,-95434.46255364675,2h,0.38590666961739306,,5.97149428475262,False,-0.007836178785681436,,0,1219145.496586266,4,236,15,False,1h_strict_engulf_v2p0_macd2h,0.75,1.5,0.0,0,1,2,-1.7816100043077552,5
1786.334745762712,False,0.04421878271283798,-452.09745762711873,-385.1406998982152,0,-0.0008082469938267001,-2.4283278318942987,-0.08538358241392097,loose,2.0,-35698.0686171815,1342762.582651894,1378460.6512690755,11,-0.4885732733593534,37.70963700222842,17,-50032.076514718545,4h,0.35237397867404857,,3.8688355600434434,False,-0.04543553205711237,,0,1108577.3990957625,3,236,11,False,1h_loose_engulf_v2p0_macd4h,0.75,1.5,0.0,0,2,3,-2.3982374781302056,3
1723.8559322033898,False,0.044218782712837766,-514.5762711864409,-312.3496189600204,-2,0.032260976337513014,-0.16206864420145717,-0.04778422914249003,strict,1.5,-33739.90957927447,1534916.9822498108,1568656.8918290853,17,-0.4885732733593535,110.5007179404232,15,-90507.07417683583,2h,0.3854432020053883,,6.135094747736285,False,-0.007836178785681436,,0,1357520.5480865403,5,236,17,False,1h_strict_engulf_v1p5_macd2h,0.75,1.5,0.0,0,0,2,-1.7816100043077552,6
1698.2203389830509,False,0.04421878271283733,-540.2118644067798,-386.1849324595654,0,0.006533915599543194,-1.57796231392025,-0.3122816913380919,loose,1.5,-35698.0686171815,1757285.622086527,1792983.6907037087,15,-0.48857327335935374,36.665404440878206,17,-46984.75651441133,4h,0.35971614126741847,,4.719201078017492,False,-0.2723336409812833,,0,1475820.921882198,5,236,15,False,1h_loose_engulf_v1p5_macd4h,0.75,1.5,0.0,0,2,3,-2.3982374781302056,3
1917.8559322033898,False,0.044218782712837114,-320.57627118644086,-274.61865691708294,0,0.012555229677888857,0.34290141866335855,-0.007060903971417565,,1.5,0.0,1273113.4473191719,1273113.4473191719,12,-0.48857327335935385,148.2316799833607,17,-122599.83672077097,,0.36573745534576413,-0.005,6.640064810601101,False,0.03288714638539103,,0,995818.0088425442,3,236,12,True,2h_wick_r85_v1p5_oiN0p5,0.85,1.5,0.0,0,2,3,-1.860765670026985,3
1978.2457627118645,False,0.04421878271283668,-260.1864406779662,-335.5280382767314,0,0.0030242590071435926,0.19669989462885873,-0.2334309344206007,strict,1.5,0.0,689987.9343872415,689987.9343872415,8,-0.4885732733593541,87.32229862371216,17,-76654.63854551096,4h,0.35620648467501886,,6.493863286566601,False,-0.1934828840637921,,0,433208.08843961335,2,236,8,False,1h_strict_engulf_v1p5_macd4h,0.75,1.5,0.0,0,4,2,-1.7984985823022916,2
